...Mass Properties...
92 Num Comps
92 Total Num Meshes
69360 Total Num Tris

166033.870368             Total Mass
87.597196 0.000755 -0.000682       Center of Gravity
3878738.407976 129827226.976905 130650818.200505       Ixx, Iyy, Izz
-4458.973332 4037.251943 979.799293       Ixy, Ixz, Iyz
4477.771684             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Angle0	354.671517	52.029653	-4.103291	-3.018403	68.680815	80.959685	21.676305	-0.023433	0.020238	17.143158	0.044334
Angle1	722.919806	52.029653	-4.873125	-2.818704	580.024741	575.535371	73.699519	0.030359	0.074451	145.021630	0.090365
Angle4	722.910599	52.029653	-6.818303	-3.931619	580.015774	575.511854	73.713187	-0.000458	0.069628	145.046878	0.090364
Angle6	354.668246	52.029653	-7.588099	-3.731767	68.696556	80.974331	21.677087	0.002366	0.024206	17.148096	0.044334
Angle8	699.099003	52.029653	-4.889574	-2.807686	571.230221	71.838702	566.321136	0.063171	-0.027327	-142.609278	0.087387
Angle9	698.603936	52.029653	-5.870468	-3.395495	562.785832	71.232078	558.435976	0.060776	-0.048140	-140.467719	0.087325
Angle11	699.091159	52.029653	-6.802109	-3.942221	571.275565	71.831815	566.372617	0.085345	-0.017017	-142.605018	0.087386
Angle10	690.850005	52.029653	-5.878131	-3.394611	572.281425	566.736244	71.685065	-0.020698	-0.008676	143.171625	0.086356
Angle12	342.514789	52.029653	-4.666748	-2.044041	68.396761	21.042330	80.145758	-0.068844	-0.004518	-17.022717	0.042814
Angle13	338.598878	52.029653	-7.033231	-4.703779	66.105677	20.715645	77.806462	-0.029854	0.015649	-16.476410	0.042325
vol_CH4_1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1905.796962
vol_LOX_1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2050.806644
Raptor_SL_Center	1444.235842	118.699007	-0.000000	-0.000000	224.937435	1259.523673	1256.414946	-0.126289	-0.088563	-0.054139	2.516090
Raptor_SL_InnerRing-6	1444.235842	118.699007	-0.000000	1.500000	235.275188	1267.735660	1258.540712	-0.443326	0.636543	0.038671	2.516090
Raptor_SL_InnerRing-6	1444.235842	118.699007	-1.299038	0.750000	243.633790	1257.886070	1276.748905	1.231353	0.795783	0.455009	2.516090
Raptor_SL_InnerRing-6	1444.235842	118.699007	-1.299038	-0.750000	243.605423	1258.406562	1276.200045	-1.104660	0.254741	6.271189	2.516090
